root_id,learned_decision,selected_length,matched_fixed_method,full_trajectory_parity
square:hb3p_stop_continue_formal:800319,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800320,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800321,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800322,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800323,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800324,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800325,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800326,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800327,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800328,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800329,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800330,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800331,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800332,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800333,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800334,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800335,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800336,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800337,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800338,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800339,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800340,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800341,STOP,60,FIXED_L60,True
square:hb3p_stop_continue_formal:800342,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800343,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800344,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800345,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800346,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800347,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800348,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800349,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800350,STOP,60,FIXED_L60,True
square:hb3p_stop_continue_formal:800351,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800352,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800353,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800354,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800355,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800356,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800357,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800358,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800359,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800360,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800361,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800362,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800363,CONTINUE,80,FIXED_L80,True
